age,bool_admin,bool_blue, bool_entrep, bool_housemaid,bool_management,bool_retired,bool_self, bool_services,bool_student, bool_tech, bool_unempl, bool_single, bool_married, bool_divorced,education, housing, loan, contact, month, day_of_week, duration, campaign, pdays, previous, bool_nonexistant, bool_fail, bool_success, empvarrate, conspriceidx, consconfidx, euribor, nremployed, class
42,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,4,0,22,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,4,0,616,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,4,0,178,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,355,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,225,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,160,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,0,266,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,253,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
53,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,4,0,179,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,269,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,4,0,135,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,161,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,4,0,787,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,1,0,4,0,145,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,1,0,0,4,0,174,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,449,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,812,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,164,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,366,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,357,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,232,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,4,0,91,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,158,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,4,0,177,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,200,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,4,0,172,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,176,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,214,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,1575,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,4,0,349,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,4,0,337,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,208,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,193,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,165,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,1042,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
38,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,1,0,4,0,20,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,246,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,529,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,4,0,192,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,4,0,1467,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,188,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,180,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,4,0,545,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,0,583,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,4,0,221,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,426,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,287,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,4,0,197,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,257,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,55,3,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,197,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,190,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,4,0,21,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,300,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,123,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,4,0,514,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
58,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,849,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,4,0,194,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,212,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,337,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,286,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,247,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,178,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,98,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,439,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,139,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,4,0,79,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,4,0,175,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,262,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,61,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
31,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,1,0,4,0,78,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,0,102,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,4,0,579,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,4,0,143,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,4,0,677,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,345,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,185,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,207,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,69,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,100,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,4,0,125,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,461,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,4,0,240,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,193,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,136,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,528,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,541,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,4,0,338,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,163,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,87,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,301,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,4,0,52,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,4,0,98,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,4,0,186,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
59,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,579,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,0,0,4,0,165,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,4,0,163,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,46,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,559,3,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,4,0,2033,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,85,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,0,4,0,506,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,4,0,843,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4,0,181,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
36,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,427,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,1,0,4,0,292,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,4,0,192,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,93,3,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,128,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1,0,4,0,107,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,303,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,4,0,81,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,270,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,4,0,228,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,240,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,4,0,673,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,1
36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,233,3,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,102,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,461,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
51,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,4,0,250,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,4,0,130,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
49,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,252,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,138,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,4,0,412,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,4,0,179,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,19,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
42,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,4,0,228,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,4,0,55,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,717,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,313,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,289,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,683,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,1077,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,146,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,4,0,167,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,356,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,0,172,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,4,0,218,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,1,0,4,0,217,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
